File: output/ClaireS1b.out                             UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   17.30 mm
SCS storm type= user 
Storm duration=   2.0 h
SCS Curve number=  89.0
Watershed area=    1.00 ha
Maximum flow path length=  100.00 m
Average slope of flow path=    2.00 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=    9.51 mm=   95.08 m3
Initial Abstraction=    6.28 mm
Concentration time=    0.11 h=     6.73 min
  
 SCS  1.6-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.0000    0.0000    0.0000
    0.0269    0.0052    1.8581
    0.0539    0.0200    7.2144
    0.0808    0.0263    9.4689
    0.1077    0.0221    7.9718
    0.1346    0.0146    5.2619
    0.1616    0.0083    2.9778
    0.1885    0.0042    1.5154
    0.2154    0.0020    0.7135
    0.2423    0.0009    0.3166
    0.2693    0.0004    0.1340
    0.2962    0.0002    0.0546
    0.3231    0.0001    0.0216
    0.3500    0.0000    0.0083
    0.3770    0.0000    0.0031
    0.4039    0.0000    0.0012

PASSED unit hydrograph check- V(mm)=  1.01
Number of unit hydrograph steps (n)  =   16
Number of excess hyetograph steps (m)=   45

 Final hydrograph (convolution)
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.8267    0.0000    0.0000
    0.8536    0.0000    0.0002
    0.8805    0.0000    0.0046
    0.9074    0.0001    0.0256
    0.9344    0.0002    0.0717
    0.9613    0.0004    0.1413
    0.9882    0.0006    0.2270
    1.0152    0.0009    0.3215
    1.0421    0.0012    0.4236
    1.0690    0.0015    0.5426
    1.0959    0.0019    0.6829
    1.1229    0.0023    0.8332
    1.1498    0.0027    0.9820
    1.1767    0.0031    1.1249
    1.2036    0.0035    1.2618
    1.2306    0.0039    1.3968
    1.2575    0.0043    1.5337
    1.2844    0.0046    1.6700
    1.3113    0.0050    1.8025
    1.3383    0.0054    1.9301
    1.3652    0.0057    2.0532
    1.3921    0.0060    2.1731
    1.4190    0.0064    2.2920
    1.4460    0.0067    2.4091
    1.4729    0.0070    2.5234
    1.4998    0.0073    2.6343
    1.5268    0.0076    2.7421
    1.5537    0.0079    2.8401
    1.5806    0.0081    2.9124
    1.6075    0.0082    2.9652
    1.6345    0.0084    3.0160
    1.6614    0.0085    3.0746
    1.6883    0.0087    3.1419
    1.7152    0.0089    3.2136
    1.7422    0.0091    3.2826
    1.7691    0.0093    3.3462
    1.7960    0.0095    3.4083
    1.8229    0.0096    3.4721
    1.8499    0.0098    3.5380
    1.8768    0.0100    3.6042
    1.9037    0.0102    3.6644
    1.9306    0.0103    3.7131
    1.9576    0.0104    3.7574
    1.9845    0.0106    3.8042
    2.0114    0.0107    3.8554
    2.0384    0.0109    3.9101
    2.0653    0.0105    3.7623
    2.0922    0.0084    3.0232
    2.1191    0.0056    2.0252
    2.1461    0.0033    1.1775
    2.1730    0.0017    0.6156
    2.1999    0.0008    0.2969
    2.2268    0.0004    0.1345
    2.2538    0.0002    0.0579
    2.2807    0.0001    0.0240
    2.3076    0.0000    0.0096
    2.3345    0.0000    0.0037
    2.3615    0.0000    0.0014
    2.3884    0.0000    0.0005
    2.4153    0.0000    0.0001

Peak flow=   0.0109 m3/s=    3.9101 mm/h
Time to peak=    2.04 h=   122.30 min
Number of final hydrograph steps (nhyd)  =   60
Time to ponding=   0.820 h
