File: output/ClaireS6.out                              UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   35.70 mm
SCS storm type= user 
Storm duration=   6.0 h
SCS Curve number=  89.0
Watershed area=    1.00 ha
Maximum flow path length=  100.00 m
Average slope of flow path=    2.00 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   77.21 mm=  772.06 m3
Initial Abstraction=    6.28 mm
Concentration time=    0.11 h=     6.73 min
  
 SCS  1.6-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.0000    0.0000    0.0000
    0.0269    0.0052    1.8581
    0.0539    0.0200    7.2144
    0.0808    0.0263    9.4689
    0.1077    0.0221    7.9718
    0.1346    0.0146    5.2619
    0.1616    0.0083    2.9778
    0.1885    0.0042    1.5154
    0.2154    0.0020    0.7135
    0.2423    0.0009    0.3166
    0.2693    0.0004    0.1340
    0.2962    0.0002    0.0546
    0.3231    0.0001    0.0216
    0.3500    0.0000    0.0083
    0.3770    0.0000    0.0031
    0.4039    0.0000    0.0012

PASSED unit hydrograph check- V(mm)=  1.01
Number of unit hydrograph steps (n)  =   16
Number of excess hyetograph steps (m)=  155

 Final hydrograph (convolution)
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    1.8565    0.0000    0.0000
    1.8834    0.0000    0.0000
    1.9104    0.0000    0.0014
    1.9373    0.0000    0.0081
    1.9642    0.0001    0.0234
    1.9911    0.0001    0.0466
    2.0181    0.0002    0.0756
    2.0450    0.0003    0.1079
    2.0719    0.0004    0.1418
    2.0988    0.0005    0.1762
    2.1258    0.0006    0.2106
    2.1527    0.0007    0.2449
    2.1796    0.0008    0.2788
    2.2065    0.0009    0.3124
    2.2335    0.0010    0.3527
    2.2604    0.0012    0.4158
    2.2873    0.0014    0.4957
    2.3143    0.0016    0.5777
    2.3412    0.0018    0.6536
    2.3681    0.0020    0.7222
    2.3950    0.0022    0.7852
    2.4220    0.0023    0.8445
    2.4489    0.0025    0.9014
    2.4758    0.0027    0.9569
    2.5027    0.0028    1.0112
    2.5297    0.0030    1.0645
    2.5566    0.0032    1.1545
    2.5835    0.0039    1.4023
    2.6104    0.0051    1.8505
    2.6374    0.0066    2.3663
    2.6643    0.0079    2.8330
    2.6912    0.0089    3.2169
    2.7181    0.0098    3.5307
    2.7451    0.0105    3.7977
    2.7720    0.0112    4.0361
    2.7989    0.0118    4.2572
    2.8259    0.0124    4.4670
    2.8528    0.0130    4.6685
    2.8797    0.0135    4.8714
    2.9066    0.0144    5.1993
    2.9336    0.0162    5.8481
    2.9605    0.0185    6.6455
    2.9874    0.0205    7.3781
    3.0143    0.0221    7.9700
    3.0413    0.0234    8.4364
    3.0682    0.0245    8.8170
    3.0951    0.0254    9.1452
    3.1220    0.0262    9.4421
    3.1490    0.0270    9.7192
    3.1759    0.0277    9.9823
    3.2028    0.0284   10.2342
    3.2297    0.0287   10.3435
    3.2567    0.0278    9.9952
    3.2836    0.0258    9.2827
    3.3105    0.0238    8.5681
    3.3375    0.0224    8.0647
    3.3644    0.0216    7.7909
    3.3913    0.0213    7.6826
    3.4182    0.0213    7.6714
    3.4452    0.0214    7.7099
    3.4721    0.0216    7.7713
    3.4990    0.0218    7.8420
    3.5259    0.0220    7.9158
    3.5529    0.0220    7.9230
    3.5798    0.0210    7.5757
    3.6067    0.0186    6.6795
    3.6336    0.0156    5.6302
    3.6606    0.0133    4.7932
    3.6875    0.0118    4.2608
    3.7144    0.0110    3.9707
    3.7413    0.0106    3.8313
    3.7683    0.0105    3.7734
    3.7952    0.0104    3.7551
    3.8221    0.0104    3.7549
    3.8491    0.0105    3.7625
    3.8760    0.0105    3.7732
    3.9029    0.0105    3.7850
    3.9298    0.0105    3.7973
    3.9568    0.0106    3.8097
    3.9837    0.0106    3.8220
    4.0106    0.0107    3.8343
    4.0375    0.0107    3.8464
    4.0645    0.0107    3.8585
    4.0914    0.0108    3.8704
    4.1183    0.0108    3.8822
    4.1452    0.0108    3.8939
    4.1722    0.0108    3.9056
    4.1991    0.0109    3.9171
    4.2260    0.0108    3.8989
    4.2529    0.0105    3.7676
    4.2799    0.0098    3.5207
    4.3068    0.0091    3.2632
    4.3337    0.0085    3.0696
    4.3607    0.0082    2.9514
    4.3876    0.0080    2.8895
    4.4145    0.0079    2.8616
    4.4414    0.0079    2.8516
    4.4684    0.0079    2.8503
    4.4953    0.0079    2.8528
    4.5222    0.0079    2.8570
    4.5491    0.0079    2.8590
    4.5761    0.0079    2.8332
    4.6030    0.0076    2.7472
    4.6299    0.0073    2.6396
    4.6568    0.0071    2.5516
    4.6838    0.0069    2.4955
    4.7107    0.0068    2.4655
    4.7376    0.0068    2.4521
    4.7645    0.0068    2.4478
    4.7915    0.0068    2.4478
    4.8184    0.0068    2.4499
    4.8453    0.0068    2.4528
    4.8723    0.0068    2.4561
    4.8992    0.0068    2.4595
    4.9261    0.0068    2.4630
    4.9530    0.0069    2.4665
    4.9800    0.0069    2.4699
    5.0069    0.0069    2.4734
    5.0338    0.0069    2.4768
    5.0607    0.0069    2.4802
    5.0877    0.0069    2.4836
    5.1146    0.0069    2.4870
    5.1415    0.0069    2.4904
    5.1684    0.0069    2.4937
    5.1954    0.0069    2.4971
    5.2223    0.0069    2.4943
    5.2492    0.0068    2.4630
    5.2761    0.0066    2.3924
    5.3031    0.0064    2.3131
    5.3300    0.0063    2.2513
    5.3569    0.0061    2.2129
    5.3839    0.0061    2.1927
    5.4108    0.0061    2.1838
    5.4377    0.0061    2.1809
    5.4646    0.0061    2.1810
    5.4916    0.0061    2.1824
    5.5185    0.0061    2.1843
    5.5454    0.0061    2.1865
    5.5723    0.0061    2.1783
    5.5993    0.0059    2.1394
    5.6262    0.0058    2.0864
    5.6531    0.0057    2.0413
    5.6800    0.0056    2.0118
    5.7070    0.0055    1.9957
    5.7339    0.0055    1.9884
    5.7608    0.0055    1.9859
    5.7877    0.0055    1.9858
    5.8147    0.0055    1.9868
    5.8416    0.0055    1.9882
    5.8685    0.0055    1.9899
    5.8955    0.0055    1.9917
    5.9224    0.0055    1.9934
    5.9493    0.0055    1.9952
    5.9762    0.0055    1.9970
    6.0032    0.0056    1.9988
    6.0301    0.0056    2.0006
    6.0570    0.0053    1.9029
    6.0839    0.0042    1.5187
    6.1109    0.0028    1.0134
    6.1378    0.0016    0.5879
    6.1647    0.0009    0.3069
    6.1916    0.0004    0.1479
    6.2186    0.0002    0.0669
    6.2455    0.0001    0.0288
    6.2724    0.0000    0.0119
    6.2993    0.0000    0.0047
    6.3263    0.0000    0.0018
    6.3532    0.0000    0.0007
    6.3801    0.0000    0.0002
    6.4071    0.0000    0.0001

Peak flow=   0.0287 m3/s=   10.3435 mm/h
Time to peak=    3.23 h=   193.78 min
Number of final hydrograph steps (nhyd)  =  170
Time to ponding=   1.851 h
