File: output/Haan_pg91.out                             UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=  127.00 mm
SCS storm type= II   
Storm duration=  24.0 h
SCS Curve number=  62.5
Watershed area=   40.47 ha
Maximum flow path length= 1524.00 m
Average slope of flow path=   55.00 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=  367.69 mm=******** m3
Initial Abstraction=   30.48 mm
Concentration time=    0.42 h=    25.22 min
  
 SCS  6.1-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.0000    0.0000    0.0000
    0.1009    0.0557    0.4959
    0.2018    0.2165    1.9254
    0.3027    0.2841    2.5272
    0.4036    0.2392    2.1276
    0.5044    0.1579    1.4043
    0.6053    0.0893    0.7947
    0.7062    0.0455    0.4044
    0.8071    0.0214    0.1904
    0.9080    0.0095    0.0845
    1.0089    0.0040    0.0358
    1.1098    0.0016    0.0146
    1.2107    0.0006    0.0058
    1.3116    0.0002    0.0022
    1.4124    0.0001    0.0008
    1.5133    0.0000    0.0003
    1.6142    0.0000    0.0001

PASSED unit hydrograph check- V(mm)=  1.01
Number of unit hydrograph steps (n)  =   17
Number of excess hyetograph steps (m)=  128

 Final hydrograph (convolution)
 time (h)    q(m3/s)   q(mm/h)
------------------------------
   11.1933    0.0000    0.0000
   11.2942    0.0001    0.0012
   11.3951    0.0014    0.0124
   11.4959    0.0060    0.0538
   11.5968    0.0161    0.1431
   11.6977    0.0330    0.2940
   11.7986    0.0594    0.5281
   11.8995    0.1008    0.8964
   12.0004    0.1742    1.5496
   12.1013    0.5183    4.6104
   12.2022    1.6659   14.8189
   12.3031    3.1712   28.2093
   12.4039    3.7241   33.1275
   12.5048    3.3290   29.6134
   12.6057    2.5864   23.0074
   12.7066    1.9015   16.9145
   12.8075    1.4018   12.4696
   12.9084    1.0734    9.5488
   13.0093    0.8651    7.6958
   13.1102    0.7314    6.5060
   13.2111    0.6416    5.7077
   13.3119    0.5778    5.1397
