File: output/class.out                                 UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   88.00 mm
SCS storm type= user 
Storm duration=   6.0 h
SCS Curve number=  87.0
Watershed area=    0.10 ha
Maximum flow path length=   21.10 m
Average slope of flow path=    4.20 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=  489.83 mm=  489.83 m3
Initial Abstraction=    7.59 mm
Concentration time=    0.02 h=     1.44 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.0000    0.0000    0.0000
    0.0058    0.0024    8.6602
    0.0116    0.0093   33.6238
    0.0173    0.0123   44.1314
    0.0231    0.0103   37.1538
    0.0289    0.0068   24.5240
    0.0347    0.0039   13.8784
    0.0404    0.0020    7.0626
    0.0462    0.0009    3.3253
    0.0520    0.0004    1.4754
    0.0578    0.0002    0.6247
    0.0636    0.0001    0.2547
    0.0693    0.0000    0.1006
    0.0751    0.0000    0.0387
    0.0809    0.0000    0.0146
    0.0867    0.0000    0.0054
    0.0924    0.0000    0.0020

PASSED unit hydrograph check- V(mm)=  1.01
Number of unit hydrograph steps (n)  =   17
Number of excess hyetograph steps (m)=  950

 Final hydrograph (convolution)
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.5197    0.0000    0.0000
    0.5255    0.0000    0.0002
    0.5313    0.0000    0.0038
    0.5371    0.0000    0.0184
    0.5428    0.0000    0.0486
    0.5486    0.0000    0.0928
    0.5544    0.0000    0.1465
    0.5602    0.0001    0.2058
    0.5659    0.0001    0.2677
    0.5717    0.0001    0.3306
    0.5775    0.0001    0.3938
    0.5833    0.0001    0.4569
    0.5891    0.0001    0.5197
    0.5948    0.0002    0.5821
    0.6006    0.0002    0.6442
    0.6064    0.0002    0.7058
    0.6122    0.0002    0.7670
    0.6179    0.0002    0.8279
    0.6237    0.0002    0.8883
    0.6295    0.0003    0.9484
    0.6353    0.0003    1.0080
    0.6411    0.0003    1.0673
    0.6468    0.0003    1.1262
    0.6526    0.0003    1.1847
    0.6584    0.0003    1.2429
    0.6642    0.0004    1.3007
    0.6699    0.0004    1.3581
    0.6757    0.0004    1.4151
    0.6815    0.0004    1.4718
    0.6873    0.0004    1.5281
    0.6931    0.0004    1.5841
    0.6988    0.0005    1.6397
    0.7046    0.0005    1.6950
    0.7104    0.0005    1.7499
    0.7162    0.0005    1.8045
    0.7219    0.0005    1.8587
    0.7277    0.0005    1.9126
    0.7335    0.0005    1.9661
    0.7393    0.0006    2.0194
    0.7450    0.0006    2.0723
    0.7508    0.0006    2.1248
    0.7566    0.0006    2.1771
    0.7624    0.0006    2.2290
    0.7682    0.0006    2.2806
    0.7739    0.0006    2.3319
    0.7797    0.0007    2.3828
    0.7855    0.0007    2.4335
    0.7913    0.0007    2.4839
    0.7970    0.0007    2.5339
    0.8028    0.0007    2.5836
    0.8086    0.0007    2.6331
    0.8144    0.0007    2.6822
    0.8202    0.0008    2.7311
    0.8259    0.0008    2.7796
    0.8317    0.0008    2.8279
    0.8375    0.0008    2.8758
    0.8433    0.0008    2.9235
    0.8490    0.0008    2.9709
    0.8548    0.0008    3.0180
