File: output/sample2.out                               UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   25.00 mm
SCS storm type= II   
Storm duration=   6.0 h
SCS Curve number=  85.0
Watershed area=    0.50 ha
Maximum flow path length=  100.00 m
Average slope of flow path=    2.00 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   16.92 mm=   84.59 m3
Initial Abstraction=    8.96 mm
Concentration time=    0.13 h=     7.81 min
  
 SCS  1.9-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.0000    0.0000    0.0000
    0.0312    0.0022    1.6016
    0.0625    0.0086    6.2182
    0.0937    0.0113    8.1615
    0.1250    0.0095    6.8711
    0.1562    0.0063    4.5354
    0.1874    0.0036    2.5666
    0.2187    0.0018    1.3061
    0.2499    0.0009    0.6150
    0.2812    0.0004    0.2729
    0.3124    0.0002    0.1155
    0.3436    0.0001    0.0471
    0.3749    0.0000    0.0186
    0.4061    0.0000    0.0072
    0.4374    0.0000    0.0027
    0.4686    0.0000    0.0010

PASSED unit hydrograph check- V(mm)=  1.01
Number of unit hydrograph steps (n)  =   16
Number of excess hyetograph steps (m)=   98

 Final hydrograph (convolution)
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    2.9845    0.0000    0.0000
    3.0157    0.0000    0.0178
    3.0469    0.0018    1.3165
    3.0782    0.0076    5.4705
    3.1094    0.0123    8.8237
    3.1407    0.0133    9.5553
    3.1719    0.0118    8.4969
    3.2031    0.0096    6.8935
    3.2344    0.0076    5.4424
    3.2656    0.0060    4.3481
    3.2969    0.0050    3.5827
    3.3281    0.0042    3.0565
    3.3593    0.0037    2.6883
    3.3906    0.0034    2.4208
    3.4218    0.0031    2.2177
    3.4531    0.0029    2.0571
    3.4843    0.0027    1.9258
    3.5155    0.0025    1.8153
    3.5468    0.0024    1.7208
    3.5780    0.0023    1.6387
    3.6093    0.0022    1.5662
    3.6405    0.0021    1.5017
    3.6717    0.0020    1.4438
    3.7030    0.0019    1.3915
    3.7342    0.0019    1.3438
    3.7654    0.0018    1.3003
    3.7967    0.0018    1.2602
    3.8279    0.0017    1.2233
    3.8592    0.0017    1.1890
    3.8904    0.0016    1.1571
    3.9216    0.0016    1.1274
    3.9529    0.0015    1.0996
    3.9841    0.0015    1.0736
    4.0154    0.0015    1.0490
    4.0466    0.0014    1.0259
    4.0778    0.0014    1.0041
    4.1091    0.0014    0.9834
    4.1403    0.0013    0.9638
    4.1716    0.0013    0.9452
    4.2028    0.0013    0.9275
    4.2340    0.0013    0.9107
    4.2653    0.0012    0.8946
    4.2965    0.0012    0.8792
    4.3278    0.0012    0.8646
    4.3590    0.0012    0.8505
    4.3902    0.0012    0.8370
    4.4215    0.0011    0.8240
    4.4527    0.0011    0.8116
    4.4840    0.0011    0.7996
    4.5152    0.0011    0.7881
    4.5464    0.0011    0.7770
    4.5777    0.0011    0.7663
    4.6089    0.0010    0.7560
    4.6402    0.0010    0.7460
    4.6714    0.0010    0.7364
    4.7026    0.0010    0.7271
    4.7339    0.0010    0.7181
    4.7651    0.0010    0.7093
    4.7964    0.0010    0.7009
    4.8276    0.0010    0.6926
    4.8588    0.0010    0.6847
    4.8901    0.0009    0.6770
    4.9213    0.0009    0.6694
    4.9526    0.0009    0.6622
    4.9838    0.0009    0.6551
    5.0150    0.0009    0.6482
    5.0463    0.0009    0.6414
    5.0775    0.0009    0.6349
    5.1088    0.0009    0.6285
    5.1400    0.0009    0.6223
    5.1712    0.0009    0.6163
    5.2025    0.0008    0.6104
    5.2337    0.0008    0.6046
    5.2650    0.0008    0.5990
    5.2962    0.0008    0.5936
    5.3274    0.0008    0.5882
    5.3587    0.0008    0.5830
    5.3899    0.0008    0.5779
    5.4212    0.0008    0.5729
    5.4524    0.0008    0.5680
    5.4836    0.0008    0.5632
    5.5149    0.0008    0.5585
    5.5461    0.0008    0.5539
    5.5774    0.0008    0.5495
    5.6086    0.0008    0.5451
    5.6398    0.0008    0.5408
    5.6711    0.0007    0.5366
    5.7023    0.0007    0.5324
    5.7336    0.0007    0.5284
    5.7648    0.0007    0.5244
    5.7960    0.0007    0.5205
    5.8273    0.0007    0.5167
    5.8585    0.0007    0.5130
    5.8898    0.0007    0.5093
    5.9210    0.0007    0.5057
    5.9522    0.0007    0.5021
    5.9835    0.0007    0.4986
    6.0147    0.0007    0.4952
    6.0460    0.0007    0.4919
    6.0772    0.0006    0.4648
    6.1084    0.0005    0.3695
    6.1397    0.0003    0.2460
    6.1709    0.0002    0.1425
    6.2021    0.0001    0.0743
    6.2334    0.0000    0.0358
    6.2646    0.0000    0.0162
    6.2959    0.0000    0.0070
    6.3271    0.0000    0.0029
    6.3583    0.0000    0.0011
    6.3896    0.0000    0.0004
    6.4208    0.0000    0.0002
    6.4521    0.0000    0.0001
    6.4833    0.0000    0.0000

Peak flow=   0.0133 m3/s=    9.5553 mm/h
Time to peak=    3.14 h=   188.44 min
Number of final hydrograph steps (nhyd)  =  113
Time to ponding=   2.968 h
