File: output/sample_CN_S06_Kuser.out                   UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   33.03 mm
SCS storm type= user1
Storm duration=   6.0 h
SCS Curve number=  81.0
Watershed area=    0.24 ha
Maximum flow path length=   31.00 m
Average slope of flow path=   12.15 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   25.38 mm=   60.91 m3
Initial Abstraction=   11.92 mm
Concentration time=    0.02 h=     1.42 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    0.0000    0.0000    0.0000
    0.0057    0.0059    8.8155
    0.0114    0.0228   34.2268
    0.0170    0.0299   44.9228
    0.0227    0.0252   37.8201
    0.0284    0.0166   24.9638
    0.0341    0.0094   14.1273
    0.0397    0.0048    7.1893
    0.0454    0.0023    3.3849
    0.0511    0.0010    1.5019
    0.0568    0.0004    0.6359
    0.0624    0.0002    0.2592
    0.0681    0.0001    0.1024
    0.0738    0.0000    0.0394
    0.0795    0.0000    0.0148
    0.0851    0.0000    0.0055

PASSED unit hydrograph check- V(mm)=  1.01
Number of unit hydrograph steps (n)  =   16
Number of excess hyetograph steps (m)=  563

 Final hydrograph (convolution)
 time (h)    q(m3/s)   q(mm/h)
------------------------------
    2.8129    0.0000    0.0000
    2.8185    0.0000    0.0000
    2.8242    0.0000    0.0012
    2.8299    0.0000    0.0080
    2.8356    0.0000    0.0249
    2.8412    0.0000    0.0550
    2.8469    0.0001    0.1085
    2.8526    0.0001    0.1965
    2.8583    0.0002    0.3119
    2.8639    0.0003    0.4417
    2.8696    0.0004    0.5768
    2.8753    0.0005    0.7130
    2.8810    0.0006    0.8486
    2.8866    0.0007    0.9832
    2.8923    0.0007    1.1167
    2.8980    0.0008    1.2492
    2.9037    0.0009    1.3807
    2.9093    0.0010    1.5111
    2.9150    0.0011    1.6405
    2.9207    0.0012    1.7690
    2.9264    0.0013    1.9822
    2.9320    0.0017    2.4955
    2.9377    0.0022    3.2878
    2.9434    0.0028    4.1508
    2.9491    0.0033    4.9411
    2.9547    0.0038    5.6257
    2.9604    0.0042    6.2253
    2.9661    0.0045    6.7697
    2.9718    0.0049    7.2814
    2.9774    0.0052    7.7734
    2.9831    0.0055    8.2528
    2.9888    0.0058    8.7228
    2.9945    0.0061    9.1850
    3.0001    0.0064    9.6402
    3.0058    0.0067   10.0886
    3.0115    0.0068   10.1872
    3.0172    0.0062    9.2724
    3.0229    0.0052    7.8685
    3.0285    0.0044    6.6492
    3.0342    0.0039    5.8538
    3.0399    0.0036    5.4298
    3.0456    0.0035    5.2474
    3.0512    0.0035    5.1983
    3.0569    0.0035    5.2154
    3.0626    0.0035    5.2628
    3.0683    0.0035    5.3232
    3.0739    0.0036    5.3888
    3.0796    0.0036    5.4563
    3.0853    0.0037    5.5242
    3.0910    0.0037    5.5584
    3.0966    0.0036    5.4172
    3.1023    0.0033    5.0078
    3.1080    0.0030    4.5228
    3.1137    0.0028    4.1391
    3.1193    0.0026    3.9017
    3.1250    0.0025    3.7807
    3.1307    0.0025    3.7323
    3.1364    0.0025    3.7229
    3.1420    0.0025    3.7327
    3.1477    0.0025    3.7511
    3.1534    0.0025    3.7732
    3.1591    0.0025    3.7968
    3.1647    0.0025    3.8209
    3.1704    0.0026    3.8452
    3.1761    0.0026    3.8399
    3.1818    0.0025    3.7299
    3.1874    0.0024    3.5279
    3.1931    0.0022    3.3243
    3.1988    0.0021    3.1767
    3.2045    0.0021    3.0913
    3.2101    0.0020    3.0515
    3.2158    0.0020    3.0386
    3.2215    0.0020    3.0400
    3.2272    0.0020    3.0482
    3.2328    0.0020    3.0593
    3.2385    0.0020    3.0718
    3.2442    0.0021    3.0848
    3.2499    0.0021    3.0979
    3.2555    0.0021    3.1111
    3.2612    0.0021    3.0982
    3.2669    0.0020    3.0075
    3.2726    0.0019    2.8774
    3.2783    0.0018    2.7643
    3.2839    0.0018    2.6902
    3.2896    0.0018    2.6511
    3.2953    0.0018    2.6351
    3.3010    0.0018    2.6320
    3.3066    0.0018    2.6354
    3.3123    0.0018    2.6418
    3.3180    0.0018    2.6495
    3.3237    0.0018    2.6578
    3.3293    0.0018    2.6663
    3.3350    0.0018    2.6748
    3.3407    0.0018    2.6792
    3.3464    0.0018    2.6566
    3.3520    0.0017    2.5861
    3.3577    0.0017    2.5006
    3.3634    0.0016    2.4326
    3.3691    0.0016    2.3908
    3.3747    0.0016    2.3703
    3.3804    0.0016    2.3630
    3.3861    0.0016    2.3629
    3.3918    0.0016    2.3663
    3.3974    0.0016    2.3714
    3.4031    0.0016    2.3771
    3.4088    0.0016    2.3831
    3.4145    0.0016    2.3892
    3.4201    0.0016    2.3953
    3.4258    0.0016    2.3940
    3.4315    0.0016    2.3644
    3.4372    0.0015    2.3063
    3.4428    0.0015    2.2457
    3.4485    0.0015    2.2011
    3.4542    0.0015    2.1752
    3.4599    0.0014    2.1633
    3.4655    0.0014    2.1598
    3.4712    0.0014    2.1607
    3.4769    0.0014    2.1637
    3.4826    0.0014    2.1677
    3.4882    0.0014    2.1722
    3.4939    0.0015    2.1768
    3.4996    0.0015    2.1814
    3.5053    0.0015    2.1861
    3.5109    0.0015    2.1819
    3.5166    0.0014    2.1502
    3.5223    0.0014    2.1025
    3.5280    0.0014    2.0595
    3.5337    0.0014    2.0308
    3.5393    0.0013    2.0154
    3.5450    0.0013    2.0091
    3.5507    0.0013    2.0081
    3.5564    0.0013    2.0097
    3.5620    0.0013    2.0125
    3.5677    0.0013    2.0158
    3.5734    0.0013    2.0194
    3.5791    0.0013    2.0231
    3.5847    0.0014    2.0268
    3.5904    0.0014    2.0293
    3.5961    0.0013    2.0205
    3.6018    0.0013    1.9880
    3.6074    0.0013    1.9470
    3.6131    0.0013    1.9139
    3.6188    0.0013    1.8934
    3.6245    0.0013    1.8832
    3.6301    0.0013    1.8796
    3.6358    0.0013    1.8795
    3.6415    0.0013    1.8812
    3.6472    0.0013    1.8836
    3.6528    0.0013    1.8865
    3.6585    0.0013    1.8894
    3.6642    0.0013    1.8924
    3.6699    0.0013    1.8955
    3.6755    0.0013    1.8954
    3.6812    0.0013    1.8823
    3.6869    0.0012    1.8540
    3.6926    0.0012    1.8234
    3.6982    0.0012    1.8004
    3.7039    0.0012    1.7869
    3.7096    0.0012    1.7807
    3.7153    0.0012    1.7789
    3.7209    0.0012    1.7795
    3.7266    0.0012    1.7812
    3.7323    0.0012    1.7834
    3.7380    0.0012    1.7858
    3.7436    0.0012    1.7883
    3.7493    0.0012    1.7908
    3.7550    0.0012    1.7934
    3.7607    0.0012    1.7915
    3.7663    0.0012    1.7752
    3.7720    0.0012    1.7492
    3.7777    0.0011    1.7249
    3.7834    0.0011    1.7083
    3.7891    0.0011    1.6992
    3.7947    0.0011    1.6954
    3.8004    0.0011    1.6947
    3.8061    0.0011    1.6956
    3.8118    0.0011    1.6972
    3.8174    0.0011    1.6992
    3.8231    0.0011    1.7013
    3.8288    0.0011    1.7035
    3.8345    0.0011    1.7057
    3.8401    0.0011    1.7076
    3.8458    0.0011    1.7035
    3.8515    0.0011    1.6843
